,runtime,algorithm,n_sequence,distance,measure,n_repertoire
0,0.5335373878479004,xtneighbor,173742,1,hamming,1
1,0.22699689865112305,symscan,173742,1,hamming,1
2,0.0967397689819336,symscan-airr,173742,1,hamming,1
3,0.12415266036987305,compairr,173742,1,hamming,1
4,0.7549059391021729,xtneighbor,384987,1,hamming,2
5,0.5467453002929688,symscan,384987,1,hamming,2
6,0.22609710693359375,symscan-airr,384987,1,hamming,2
7,0.3074941635131836,compairr,384987,1,hamming,2
8,1.2332656383514404,xtneighbor,774672,1,hamming,4
9,1.1677091121673584,symscan,774672,1,hamming,4
10,0.4596519470214844,symscan-airr,774672,1,hamming,4
11,0.7633299827575684,compairr,774672,1,hamming,4
12,2.369727849960327,xtneighbor,1724041,1,hamming,8
13,3.0329623222351074,symscan,1724041,1,hamming,8
14,1.1164486408233643,symscan-airr,1724041,1,hamming,8
15,2.2778255939483643,compairr,1724041,1,hamming,8
16,3.8632333278656006,xtneighbor,3047613,1,hamming,16
17,6.508207082748413,symscan,3047613,1,hamming,16
18,2.1348202228546143,symscan-airr,3047613,1,hamming,16
19,5.679888725280762,compairr,3047613,1,hamming,16
20,6.8674328327178955,xtneighbor,5691935,1,hamming,32
21,14.855953216552734,symscan,5691935,1,hamming,32
22,4.632121562957764,symscan-airr,5691935,1,hamming,32
23,17.371124267578125,compairr,5691935,1,hamming,32
24,13.3406400680542,xtneighbor,11327717,1,hamming,64
25,36.435067892074585,symscan,11327717,1,hamming,64
26,10.6436448097229,symscan-airr,11327717,1,hamming,64
27,59.59320688247681,compairr,11327717,1,hamming,64
28,0.528785228729248,xtneighbor,173742,1,leven,1
29,0.22519707679748535,symscan,173742,1,leven,1
30,0.11599016189575195,symscan-airr,173742,1,leven,1
31,0.17634201049804688,compairr,173742,1,leven,1
32,0.7713899612426758,xtneighbor,384987,1,leven,2
33,0.6508934497833252,symscan,384987,1,leven,2
34,0.2823483943939209,symscan-airr,384987,1,leven,2
35,0.4139373302459717,compairr,384987,1,leven,2
36,1.2702479362487793,xtneighbor,774672,1,leven,4
37,1.4623301029205322,symscan,774672,1,leven,4
38,0.6383056640625,symscan-airr,774672,1,leven,4
39,1.050828456878662,compairr,774672,1,leven,4
40,2.401298999786377,xtneighbor,1724041,1,leven,8
41,3.9309263229370117,symscan,1724041,1,leven,8
42,1.576185941696167,symscan-airr,1724041,1,leven,8
43,3.210855722427368,compairr,1724041,1,leven,8
44,3.875255584716797,xtneighbor,3047613,1,leven,16
45,8.28576922416687,symscan,3047613,1,leven,16
46,3.094242811203003,symscan-airr,3047613,1,leven,16
47,8.06242823600769,compairr,3047613,1,leven,16
48,7.016993761062622,xtneighbor,5691935,1,leven,32
49,19.457239151000977,symscan,5691935,1,leven,32
50,7.058193206787109,symscan-airr,5691935,1,leven,32
51,25.942391872406006,compairr,5691935,1,leven,32
52,13.876874208450317,xtneighbor,11327717,1,leven,64
53,50.173925161361694,symscan,11327717,1,leven,64
54,16.140900373458862,symscan-airr,11327717,1,leven,64
55,90.21552920341492,compairr,11327717,1,leven,64
56,1.452904224395752,xtneighbor,173742,2,hamming,1
57,0.6399354934692383,symscan,173742,2,hamming,1
58,0.3658723831176758,symscan-airr,173742,2,hamming,1
59,6.4326488971710205,compairr,173742,2,hamming,1
60,3.1129822731018066,xtneighbor,384987,2,hamming,2
61,2.1577234268188477,symscan,384987,2,hamming,2
62,0.9894945621490479,symscan-airr,384987,2,hamming,2
63,14.172330379486084,compairr,384987,2,hamming,2
64,6.4892284870147705,xtneighbor,774672,2,hamming,4
65,5.888805866241455,symscan,774672,2,hamming,4
66,2.293766736984253,symscan-airr,774672,2,hamming,4
67,32.01402306556702,compairr,774672,2,hamming,4
68,15.757277488708496,xtneighbor,1724041,2,hamming,8
69,19.06040120124817,symscan,1724041,2,hamming,8
70,6.013806581497192,symscan-airr,1724041,2,hamming,8
71,85.60584092140198,compairr,1724041,2,hamming,8
72,30.561983108520508,xtneighbor,3047613,2,hamming,16
73,46.45000624656677,symscan,3047613,2,hamming,16
74,12.777382612228394,symscan-airr,3047613,2,hamming,16
75,178.70606589317322,compairr,3047613,2,hamming,16
76,65.08966565132141,xtneighbor,5691935,2,hamming,32
77,122.85943007469177,symscan,5691935,2,hamming,32
78,29.0466091632843,symscan-airr,5691935,2,hamming,32
79,475.7347297668457,compairr,5691935,2,hamming,32
80,154.86154627799988,xtneighbor,11327717,2,hamming,64
81,361.93960523605347,symscan,11327717,2,hamming,64
82,74.62225437164307,symscan-airr,11327717,2,hamming,64
83,1403.7783603668213,compairr,11327717,2,hamming,64
84,1.4939279556274414,xtneighbor,173742,2,leven,1
85,1.395143985748291,symscan,173742,2,leven,1
86,0.9244768619537354,symscan-airr,173742,2,leven,1
87,3.1884026527404785,xtneighbor,384987,2,leven,2
88,5.611148357391357,symscan,384987,2,leven,2
89,3.4429736137390137,symscan-airr,384987,2,leven,2
90,6.7397191524505615,xtneighbor,774672,2,leven,4
91,15.939231872558594,symscan,774672,2,leven,4
92,9.410691261291504,symscan-airr,774672,2,leven,4
93,16.64271378517151,xtneighbor,1724041,2,leven,8
94,55.37851691246033,symscan,1724041,2,leven,8
95,30.754826545715332,symscan-airr,1724041,2,leven,8
96,32.715102195739746,xtneighbor,3047613,2,leven,16
