file,count
HIP09789.tsv.gz,277587
HIP13497.tsv.gz,166649
HIP08076.tsv.gz,257508
HIP13932.tsv.gz,180216
HIP09001.tsv.gz,299802
HIP03812.tsv.gz,240204
HIP13780.tsv.gz,201367
HIP03592.tsv.gz,277818
HIP13352.tsv.gz,242312
HIP09118.tsv.gz,255794
HIP03228.tsv.gz,273276
HIP03628.tsv.gz,155077
HIP19716.tsv.gz,91783
HIP13920.tsv.gz,179526
HIP09029.tsv.gz,283383
HIP13252.tsv.gz,187327
HIP04605.tsv.gz,214551
HIP12527.tsv.gz,161725
HIP14092.tsv.gz,187519
HIP05563.tsv.gz,112939
HIP13956.tsv.gz,181232
HIP02931.tsv.gz,146289
HIP09026.tsv.gz,186332
HIP13944.tsv.gz,28793
HIP00169.tsv.gz,89998
HIP05960.tsv.gz,228800
HIP08305.tsv.gz,176081
HIP14244.tsv.gz,141034
HIP12538.tsv.gz,230433
HIP14221.tsv.gz,195064
HIP13710.tsv.gz,251403
HIP13789.tsv.gz,162235
HIP11774.tsv.gz,108824
HIP09344.tsv.gz,242548
HIP05437.tsv.gz,246006
HIP11758.tsv.gz,223048
HIP03505.tsv.gz,116777
HIP05942.tsv.gz,244491
HIP19717.tsv.gz,247776
HIP14206.tsv.gz,231657
HIP02780.tsv.gz,133585
HIP13928.tsv.gz,218648
HIP03732.tsv.gz,151308
HIP00971.tsv.gz,301134
HIP00771.tsv.gz,287679
HIP01947.tsv.gz,188542
HIP10694.tsv.gz,59408
HIP05817.tsv.gz,200976
HIP13962.tsv.gz,51590
HIP13478.tsv.gz,125636
HIP13245.tsv.gz,148619
HIP01797.tsv.gz,161224
HIP00985.tsv.gz,233967
HIP14238.tsv.gz,253326
HIP13919.tsv.gz,128225
HIP14110.tsv.gz,14661
HIP09022.tsv.gz,204464
HIP04578.tsv.gz,235873
HIP04611.tsv.gz,237954
HIP05398.tsv.gz,204491
HIP13923.tsv.gz,22765
HIP05524.tsv.gz,64118
HIP01820.tsv.gz,185456
HIP13764.tsv.gz,244004
HIP13654.tsv.gz,233310
HIP09365.tsv.gz,239274
HIP13449.tsv.gz,140163
HIP14143.tsv.gz,66527
HIP10821.tsv.gz,197663
HIP13355.tsv.gz,275143
HIP01140.tsv.gz,219284
HIP09046.tsv.gz,196420
HIP00813.tsv.gz,89714
HIP03099.tsv.gz,183842
HIP15861.tsv.gz,121057
HIP08710.tsv.gz,145521
HIP17440.tsv.gz,259196
HIP01206.tsv.gz,89855
HIP08890.tsv.gz,169976
HIP01255.tsv.gz,294471
HIP16738.tsv.gz,194422
HIP13746.tsv.gz,108707
HIP13703.tsv.gz,77982
